,id,year,make,model,trim1,trim2,make_model
577,18711f3a05a4,2014.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
588,18de0704489e,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
589,190c8617d71f,2014.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
594,195b6db9d0d4,2013.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
596,196f1caf7a65,2013.0,Toyota,Sienna,Sienna,SE 8-Passenger,Toyota_Sienna
624,1a6bc73ed99a,2014.0,Toyota,Prius,Prius,Two,Toyota_Prius
629,1aa920b765d6,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
630,1ab925fedd6b,2015.0,Toyota,Prius,Prius,Two,Toyota_Prius
632,1acd3d0c909f,2014.0,Toyota,Prius c,Prius c,Four,Toyota_Prius c
648,1b8d5b1e8f16,2014.0,Toyota,Corolla,Corolla,LE Eco Plus,Toyota_Corolla
686,1cc75f01849f,2013.0,Toyota,Prius,Prius,Two,Toyota_Prius
710,1d66d1d68e90,2015.0,Toyota,Tundra,Tundra,Limited,Toyota_Tundra
718,1db983fabba1,2014.0,Toyota,Corolla,Corolla,L,Toyota_Corolla
745,1e7de886621d,2012.0,Toyota,Sienna,Sienna,XLE 8-Passenger,Toyota_Sienna
751,1ecc09a9a573,2016.0,Toyota,Camry Hybrid,Camry Hybrid,LE,Toyota_Camry Hybrid
752,1ee65a0b1542,2015.0,Toyota,Tundra,Tundra,1794,Toyota_Tundra
776,1fcfed163791,2016.0,Toyota,Corolla,Corolla,S Plus,Toyota_Corolla
778,1fda9402220a,2012.0,Toyota,Camry,Camry,LE,Toyota_Camry
790,2065ec7f39c8,2013.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
796,208b142ba78f,2013.0,Toyota,Prius c,Prius c,One,Toyota_Prius c
798,20d2b5fdb088,2012.0,Toyota,Tundra,Tundra,Limited,Toyota_Tundra
825,21b847c62450,2013.0,Toyota,Prius,Prius,Two,Toyota_Prius
831,21e4240a9fc2,2013.0,Toyota,Prius,Prius,Three,Toyota_Prius
846,2280decf6c41,2012.0,Toyota,Camry,Camry,SE,Toyota_Camry
859,22e98e7e6afa,2015.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
878,23889f641bdf,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
883,23b3b8060345,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
889,23db3b0bad28,2013.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
921,2528689f3340,2014.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
932,257d8c06c4ba,2015.0,Toyota,Corolla,Corolla,S Plus,Toyota_Corolla
961,26e316ee0893,2015.0,Toyota,Yaris,Yaris,5-Door L,Toyota_Yaris
975,27578e89d555,2013.0,Toyota,Prius c,Prius c,One,Toyota_Prius c
981,2792660389f6,2014.0,Toyota,Prius,Prius,Two,Toyota_Prius
988,27e420c6a3ba,2013.0,Toyota,Prius c,Prius c,One,Toyota_Prius c
990,27f5a3f74a2e,2015.0,Toyota,Camry,Camry,SE,Toyota_Camry
1010,28c294e69a62,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1025,29342697c43e,2015.0,Toyota,Corolla,Corolla,L,Toyota_Corolla
1064,2a7e771305be,2014.0,Toyota,Prius c,Prius c,Three,Toyota_Prius c
1075,2adad7bbe262,2013.0,Toyota,Corolla,Corolla,S,Toyota_Corolla
1090,2b2b3bd8a0de,2012.0,Toyota,Prius,Prius,Three,Toyota_Prius
1100,2bb72e82703d,2015.0,Toyota,4Runner,4Runner,SR5,Toyota_4Runner
1113,2c484b2e9249,2011.0,Toyota,Avalon,Avalon,Base,Toyota_Avalon
1131,2cd32198b38c,2012.0,Toyota,Prius,Prius,Two,Toyota_Prius
1145,2d2e5618ce53,2015.0,Toyota,Avalon,Avalon,XLE,Toyota_Avalon
1152,2d72df87623b,2014.0,Toyota,Prius,Prius,Two,Toyota_Prius
1158,2d8f9c9fb312,2012.0,Toyota,FJ Cruiser,FJ Cruiser,Base,Toyota_FJ Cruiser
1170,2dee42ecf15a,2014.0,Toyota,Prius,Prius,Two,Toyota_Prius
1171,2e0838b7ef76,2013.0,Toyota,Highlander,Highlander,Base,Toyota_Highlander
1185,2e64d944955b,2012.0,Toyota,Prius,Prius,Three,Toyota_Prius
1193,2eb4d2c125cf,2011.0,Toyota,RAV4,RAV4,Limited,Toyota_RAV4
1198,2ee0babade9b,2013.0,Toyota,Prius c,Prius c,Three,Toyota_Prius c
1209,2f23119d350e,2014.0,Toyota,Prius,Prius,Two,Toyota_Prius
1218,2f56c7c9bc1a,2012.0,Toyota,Prius,Prius,Three,Toyota_Prius
1229,2fb32edf53dd,2011.0,Toyota,Tacoma,Tacoma,Base V6 Towing Pkg,Toyota_Tacoma
1232,2fe37382f988,2013.0,Toyota,Prius Plug-in Hybrid,Prius Plug-in Hybrid,Base,Toyota_Prius Plug-in Hybrid
1242,30444beadb0c,2014.0,Toyota,Prius v,Prius v,Two,Toyota_Prius v
1246,308d0eb467f2,2012.0,Toyota,Camry,Camry,LE,Toyota_Camry
1254,30c2d7724a7e,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
1270,313268f04960,2013.0,Toyota,Camry Hybrid,Camry Hybrid,XLE,Toyota_Camry Hybrid
1290,32363af8f191,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
1294,328f60f59bfb,2012.0,Toyota,Prius,Prius,Three,Toyota_Prius
1297,32b3a1f04aa7,2012.0,Toyota,Corolla,Corolla,L,Toyota_Corolla
1306,3300a114bf1c,2014.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
1321,33b5bf3630b4,2015.0,Toyota,Corolla,Corolla,S,Toyota_Corolla
1324,33d0934c3c1a,2012.0,Toyota,Prius,Prius,Three,Toyota_Prius
1338,34763abc3c49,2014.0,Toyota,Avalon,Avalon,XLE,Toyota_Avalon
1341,34bbde9ad3c7,2014.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
1354,354ea2f04907,2013.0,Toyota,Camry,Camry,LE,Toyota_Camry
1369,35c2e0c809b6,2015.0,Toyota,Tundra,Tundra,SR5,Toyota_Tundra
1371,35dd9bd19b02,2013.0,Toyota,Camry Hybrid,Camry Hybrid,XLE,Toyota_Camry Hybrid
1406,36f74b35654f,2012.0,Toyota,Prius,Prius,Three,Toyota_Prius
1426,378ec4b0a22f,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1450,389f963accf7,2013.0,Toyota,Corolla,Corolla,L,Toyota_Corolla
1461,3915143c71a0,2016.0,Toyota,Tacoma,Tacoma,SR5 V6,Toyota_Tacoma
1465,3928657eb0e5,2015.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
1480,399609f01f60,2015.0,Toyota,4Runner,4Runner,SR5,Toyota_4Runner
1495,3a1282fa76fb,2016.0,Toyota,Prius,Prius,Four Touring,Toyota_Prius
1516,3aa0760c0cb2,2013.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
1518,3aa4fa0abaec,2013.0,Toyota,Camry,Camry,SE V6,Toyota_Camry
1544,3b8e6066dbde,2012.0,Toyota,Camry,Camry,XLE,Toyota_Camry
1549,3bd42fc660e0,2012.0,Toyota,Camry,Camry,SE,Toyota_Camry
1556,3c23652ae5bd,2012.0,Toyota,Prius,Prius,Two,Toyota_Prius
1568,3cb87b39dbdf,2014.0,Toyota,Tundra,Tundra,Limited,Toyota_Tundra
1574,3cec90204b1f,2012.0,Toyota,Camry,Camry,XLE V6,Toyota_Camry
1581,3d19edde296e,2016.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1583,3d2b9e94edb4,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
1589,3d93d65bef20,2015.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1615,3e7561bfb5ad,2015.0,Toyota,Yaris,Yaris,5-Door L,Toyota_Yaris
1640,3f7ae1593d3a,2013.0,Toyota,Camry Hybrid,Camry Hybrid,LE,Toyota_Camry Hybrid
1643,3f8b2c3d1a2d,2015.0,Toyota,Sienna,Sienna,LE 7-Passenger,Toyota_Sienna
1678,412eeee0aa0b,2014.0,Toyota,RAV4,RAV4,Limited,Toyota_RAV4
1679,413fabd594a1,2014.0,Toyota,Tundra,Tundra,SR5 w/Towing Pkg,Toyota_Tundra
1692,41a4e79892bd,2013.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1695,41b863009575,2015.0,Toyota,4Runner,4Runner,SR5,Toyota_4Runner
1703,421e8a6931b7,2013.0,Toyota,Prius c,Prius c,Three,Toyota_Prius c
1721,42bce3843846,2016.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1740,433991b34f79,2014.0,Toyota,Yaris,Yaris,5-Door L,Toyota_Yaris
1744,436c61389292,2013.0,Toyota,Prius,Prius,Two,Toyota_Prius
1746,437b34407f5d,2014.0,Toyota,Corolla,Corolla,LE Plus,Toyota_Corolla
1756,44037031e8d4,2013.0,Toyota,Prius,Prius,Three,Toyota_Prius
1757,440b4f6abbce,2012.0,Toyota,Prius c,Prius c,Three,Toyota_Prius c
1766,448f7f27b17e,2014.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
1782,4545292f76cb,2016.0,Toyota,Camry,Camry,SE,Toyota_Camry
1784,455a9a6ea1fc,2015.0,Toyota,Prius v,Prius v,Five,Toyota_Prius v
1792,458891c1b92b,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1805,461c8873df58,2014.0,Toyota,Highlander,Highlander,LE,Toyota_Highlander
1814,468a67c45184,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
1818,46b8816a9836,2013.0,Toyota,Tacoma,Tacoma,V6 w/TRD Sport Pkg,Toyota_Tacoma
1820,46de716af733,2015.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
1829,47540107bc57,2015.0,Toyota,Prius,Prius,Two,Toyota_Prius
1834,477467cf00a8,2013.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1836,4780735eafe5,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
1888,49227f406e15,2016.0,Toyota,Camry,Camry,LE,Toyota_Camry
1890,495063f433f3,2014.0,Toyota,Tundra,Tundra,SR5,Toyota_Tundra
1893,49681d8abe09,2015.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
1904,49deb2f3956e,2013.0,Toyota,Highlander,Highlander,Plus,Toyota_Highlander
1907,49eb62499405,2014.0,Toyota,Corolla,Corolla,L,Toyota_Corolla
1910,4a18ce15c065,2015.0,Toyota,4Runner,4Runner,SR5,Toyota_4Runner
1915,4a4c5b5abf9b,2015.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
1916,4a5de554e6a9,2013.0,Toyota,Prius Plug-in Hybrid,Prius Plug-in Hybrid,Advanced,Toyota_Prius Plug-in Hybrid
1923,4a8955eb3bbc,2013.0,Toyota,Highlander,Highlander,SE,Toyota_Highlander
1949,4b800c67295c,2013.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
1956,4bb15a590c96,2015.0,Toyota,Highlander,Highlander,XLE,Toyota_Highlander
1959,4bd4ce4edcd9,2015.0,Toyota,Prius v,Prius v,Five,Toyota_Prius v
1964,4be9af3c17d4,2013.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
1969,4c324e1cd6ac,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
1973,4c6ab839861f,2012.0,Toyota,Highlander,Highlander,Base,Toyota_Highlander
1978,4c9868f860a9,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
1982,4cc44eb76fef,2015.0,Toyota,Yaris,Yaris,5-Door LE,Toyota_Yaris
2000,4d5841bb9c11,2016.0,Toyota,Camry,Camry,LE,Toyota_Camry
2003,4d69a760c14a,2016.0,Toyota,Camry,Camry,SE,Toyota_Camry
2018,4ddedccf4439,2015.0,Toyota,Yaris,Yaris,5-Door L,Toyota_Yaris
2020,4de600af045e,2013.0,Toyota,Prius,Prius,Three,Toyota_Prius
2049,4e8304f36ca0,2013.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
2052,4e9d1b19e414,2013.0,Toyota,Prius,Prius,Two,Toyota_Prius
2055,4eb9d1599e50,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
2063,4f06e92e4b22,2012.0,Toyota,Camry,Camry,XLE V6,Toyota_Camry
2071,4f3b4198b2cc,2014.0,Toyota,Corolla,Corolla,S Plus,Toyota_Corolla
2079,4f78e3dc3c27,2013.0,Toyota,4Runner,,,Toyota_4Runner
2082,4f877a3b0ea8,2010.0,Toyota,Prius,Prius,II,Toyota_Prius
2089,4fd7a13dfd6c,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
2101,504dad0400fc,2013.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
2124,51792c95b0cc,2013.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
2129,51a852a6ac5d,2014.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
2137,5203f1425422,2014.0,Toyota,Yaris,Yaris,5-Door LE,Toyota_Yaris
2141,524a541d60cb,2013.0,Toyota,Prius,Prius,Three,Toyota_Prius
2150,529c06df6ded,2016.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
2152,529d136afb0c,2013.0,Toyota,RAV4,RAV4,Limited,Toyota_RAV4
2153,529f87cf67bd,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
2156,52c86859e9f1,2015.0,Toyota,Yaris,Yaris,5-Door LE,Toyota_Yaris
2157,52cf4c809173,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
2170,537927d3d6a8,2012.0,Toyota,Tacoma,Tacoma,V6,Toyota_Tacoma
2181,53d99e71bdc3,2014.0,Toyota,Venza,Venza,LE,Toyota_Venza
2186,5432c1cc0d84,2016.0,Toyota,Camry,Camry,SE,Toyota_Camry
2196,54d2d04c8d6a,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
2201,551d818ec3ce,2015.0,Toyota,Tacoma,Tacoma,V6 w/SR5 Pkg,Toyota_Tacoma
2209,555cc22aa4ee,2013.0,Toyota,Highlander,Highlander,Plus,Toyota_Highlander
2226,55f88fed04bf,2014.0,Toyota,Corolla,Corolla,S,Toyota_Corolla
2234,565b8a2e2e9e,2013.0,Toyota,Camry,Camry,L,Toyota_Camry
2249,57131a556e0d,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
2254,575fad94bc83,2016.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
2265,57f89bd2115e,2014.0,Toyota,Avalon,Avalon,Limited,Toyota_Avalon
2266,580400162006,2012.0,Toyota,Camry,Camry,SE,Toyota_Camry
2272,58304f786779,2014.0,Toyota,Corolla,Corolla,S Plus,Toyota_Corolla
2283,58d8c8588ce7,2011.0,Toyota,Tacoma,Tacoma,V6,Toyota_Tacoma
2296,59ce00e85d47,2014.0,Toyota,Prius,Prius,Two,Toyota_Prius
2306,5a416a735bf5,2015.0,Toyota,Yaris,Yaris,5-Door L,Toyota_Yaris
2307,5a4817596fe0,2012.0,Toyota,Sienna,Sienna,XLE 8-Passenger,Toyota_Sienna
2329,5b01bfa41f16,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
2368,5cdfacd34e26,2015.0,Toyota,Corolla,Corolla,S,Toyota_Corolla
2371,5d0453121dd2,2014.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
2388,5dabdfa34279,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
2401,5e25d181e30d,2013.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
2434,5fac32f43866,2014.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
2452,604dfb2c191f,2013.0,Toyota,Avalon,Avalon,XLE,Toyota_Avalon
2460,60b450725fdf,2014.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
2483,616768ac3732,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
2486,61b6044123cc,2016.0,Toyota,4Runner,4Runner,SR5 Premium,Toyota_4Runner
2492,61f417ffd55d,2012.0,Toyota,Camry,Camry,SE,Toyota_Camry
2507,629ccfea1eb0,2013.0,Toyota,Prius,Prius,Five,Toyota_Prius
2517,62ede95f6d5d,2014.0,Toyota,Camry Hybrid,Camry Hybrid,XLE,Toyota_Camry Hybrid
2561,64bada261545,2015.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
2567,64dd8a8c5a39,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
2581,656642c77480,2015.0,Toyota,Camry,Camry,LE,Toyota_Camry
2597,660ee9406910,2015.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
2603,662a6ff55e17,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
2616,66ed9039a38b,2012.0,Toyota,Prius,Prius,Two,Toyota_Prius
2632,676cd75bfae3,2013.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
2635,67a0600bcc79,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
2637,67b2f287ff27,2014.0,Toyota,Camry,Camry,XLE,Toyota_Camry
2642,67fad20aa073,2015.0,Toyota,Corolla,Corolla,S,Toyota_Corolla
2687,69686d55cd17,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
2722,6a680cbbb9cb,2012.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
2749,6b260bed87cd,2015.0,Toyota,Camry Hybrid,Camry Hybrid,LE,Toyota_Camry Hybrid
2761,6bb94e37cc54,2012.0,Toyota,Prius,Prius,Four,Toyota_Prius
2766,6bcc315b5d64,2015.0,Toyota,Corolla,Corolla,S Plus,Toyota_Corolla
2799,6d30efd0e849,2015.0,Toyota,Camry,Camry,LE,Toyota_Camry
2819,6dcb61f4776a,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
2831,6e6128a584f5,2013.0,Toyota,Highlander,Highlander,Limited,Toyota_Highlander
2835,6e85f4d89834,2014.0,Toyota,Camry,Camry,SE V6,Toyota_Camry
2850,6ef48b78ec62,2014.0,Toyota,Corolla,Corolla,LE Plus,Toyota_Corolla
2864,6f8566a747be,2014.0,Toyota,Prius c,Prius c,Three,Toyota_Prius c
2867,6f95f31fa14d,2014.0,Toyota,Camry Hybrid,Camry Hybrid,XLE,Toyota_Camry Hybrid
2868,6fa822d75532,2015.0,Toyota,Sienna,Sienna,L 7-Passenger,Toyota_Sienna
2874,6fd703d1df93,2012.0,Toyota,Camry,Camry,SE,Toyota_Camry
2876,6fea754f61c7,2015.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
2881,6ffaa27df8b5,2016.0,Toyota,4Runner,4Runner,SR5,Toyota_4Runner
2888,704fa9342e2d,2013.0,Toyota,Prius c,Prius c,Three,Toyota_Prius c
2896,7098207f33cc,2013.0,Toyota,Camry,Camry,LE,Toyota_Camry
2907,7100832ce579,2014.0,Toyota,Camry,Camry,XLE V6,Toyota_Camry
2909,710cd8e814a3,2015.0,Toyota,4Runner,4Runner,SR5,Toyota_4Runner
2913,711ae6770d1f,2012.0,Toyota,Camry,Camry,XLE,Toyota_Camry
2960,73273d32c724,2011.0,Toyota,Highlander,Highlander,Limited,Toyota_Highlander
2963,7335e7f738c3,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
2976,73ad64d5d982,2014.0,Toyota,Highlander,Highlander,Limited,Toyota_Highlander
2979,73c0208dc117,2012.0,Toyota,Prius,Prius,Four,Toyota_Prius
2981,73c33e6ab101,2014.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
2992,74244cfe8bf5,2012.0,Toyota,Prius,Prius,Three w/ Solar Roof Pkg,Toyota_Prius
3014,751dc74577cf,2016.0,Toyota,Camry,Camry,LE,Toyota_Camry
3015,75269d43ee65,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
3019,75356f290e42,2014.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
3028,756f9e9cefa8,2012.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
3031,757cc1825081,2014.0,Toyota,Tundra,Tundra,SR5 W/Towing Pkg,Toyota_Tundra
3047,763123c37e43,2011.0,Toyota,Camry,Camry,SE,Toyota_Camry
3050,765096186da7,2013.0,Toyota,Prius,Prius,Two,Toyota_Prius
3068,76ed1113e460,2013.0,Toyota,Prius,Prius,Four,Toyota_Prius
3078,774a9c35c166,2014.0,Toyota,Tundra,Tundra,SR5,Toyota_Tundra
3110,78b2cd973cbf,2015.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
3114,78f0d81e9885,2016.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
3117,79032d4ed5bd,2013.0,Toyota,Prius,Prius,Two,Toyota_Prius
3118,79143108d89d,2015.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
3122,792ac096ffb6,2014.0,Toyota,Sequoia,,,Toyota_Sequoia
3126,7954ece53adf,2016.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
3149,79d12f1a081b,2012.0,Toyota,Camry,Camry,LE,Toyota_Camry
3160,7a740bd1bd98,2013.0,Toyota,Camry,Camry,LE,Toyota_Camry
3177,7b19851c086b,2013.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
3179,7b45951afd4d,2015.0,Toyota,Corolla,Corolla,S Plus,Toyota_Corolla
3183,7b69fe42f689,2015.0,Toyota,4Runner,4Runner,SR5,Toyota_4Runner
3193,7bc3c25d80f7,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
3196,7bc9f3efea2e,2015.0,Toyota,4Runner,4Runner,SR5,Toyota_4Runner
3200,7bd67d9698b0,2015.0,Toyota,Sienna,Sienna,XLE 8-Passenger,Toyota_Sienna
3206,7c1af90808f0,2013.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
3214,7c958bfd6f9a,2011.0,Toyota,Sienna,Sienna,XLE 8-Passenger,Toyota_Sienna
3216,7c9886d383d6,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
3228,7d0d26ca2f98,2013.0,Toyota,Camry Hybrid,Camry Hybrid,XLE,Toyota_Camry Hybrid
3237,7d78a7ad58df,2014.0,Toyota,Corolla,Corolla,L,Toyota_Corolla
3245,7de6f7b6fff0,2013.0,Toyota,4Runner,4Runner,SR5 W/ Convenience Pkg,Toyota_4Runner
3271,7edbec950b1c,2014.0,Toyota,Corolla,Corolla,LE Eco,Toyota_Corolla
3279,7f333e5e2789,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
3284,7f587a7d62fe,2013.0,Toyota,Prius c,Prius c,Three,Toyota_Prius c
3287,7f91925b6620,2013.0,Toyota,Prius,Prius,Five,Toyota_Prius
3308,80866019f76e,2015.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
3317,8106da09f0c7,2013.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
3321,813f09839ae9,2013.0,Toyota,Prius v,Prius v,Two,Toyota_Prius v
3324,8152dc20ced1,2014.0,Toyota,Corolla,Corolla,S Plus,Toyota_Corolla
3330,81857501a54a,2014.0,Toyota,Corolla,Corolla,S Plus,Toyota_Corolla
3341,8210666febd0,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
3342,82213aecb7b7,2014.0,Toyota,Camry Hybrid,Camry Hybrid,XLE,Toyota_Camry Hybrid
3352,82915b7abbfd,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
3354,82968d4d6d43,2014.0,Toyota,Prius c,Prius c,Four,Toyota_Prius c
3364,82e943441a5e,2013.0,Toyota,Prius c,Prius c,One,Toyota_Prius c
3365,82f43066240b,2014.0,Toyota,Camry Hybrid,Camry Hybrid,LE,Toyota_Camry Hybrid
3367,82fac421c4aa,2014.0,Toyota,Camry,Camry,SE Sport,Toyota_Camry
3372,832354e4f05d,2012.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
3379,838e0e5e69b5,2015.0,Toyota,Prius,Prius,Two,Toyota_Prius
3380,83944ef3a1dc,2013.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
3381,83951d7b09e0,2012.0,Toyota,Corolla,Corolla,S,Toyota_Corolla
3408,848e3f55ede5,2014.0,Toyota,Prius c,Prius ,One,Toyota_Prius c
3421,8512b754fb8f,2013.0,Toyota,Camry,Camry,L,Toyota_Camry
3425,8526f7cc77d8,2015.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
3427,8541ebc63f36,2014.0,Toyota,Sienna,Sienna,L 7-Passenger,Toyota_Sienna
3445,85f42f741121,2013.0,Toyota,Prius,Prius,Five,Toyota_Prius
3453,8664e7991d6c,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
3467,86fbeee5c100,2014.0,Toyota,Sienna,Sienna,LE 7-Passenger Auto Access Seat,Toyota_Sienna
3477,8763ca1e34ad,2015.0,Toyota,Tundra,Tundra,TRD Pro,Toyota_Tundra
3478,8770456979ee,2012.0,Toyota,Prius Plug-in Hybrid,Prius Plug-in Hybrid,Advanced,Toyota_Prius Plug-in Hybrid
3482,87a4a64b3632,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
3497,881a4aa969ea,2015.0,Toyota,Corolla,Corolla,L,Toyota_Corolla
3505,8846d3ffe423,2014.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
3516,88a0d8b48f14,2013.0,Toyota,Camry,Camry,SE,Toyota_Camry
3522,88e4a7c76a64,2012.0,Toyota,Camry,Camry,SE V6,Toyota_Camry
3526,8908a617b09c,2013.0,Toyota,Prius,Prius,Four,Toyota_Prius
3529,890e6a53cdc3,2014.0,Toyota,Corolla,Corolla,LE,Toyota_Corolla
3548,89df8fec5764,2012.0,Toyota,Prius c,Prius c,One,Toyota_Prius c
3563,8a36d8fa8508,2013.0,Toyota,Camry,Camry,LE,Toyota_Camry
3568,8a81988f6f79,2015.0,Toyota,Yaris,Yaris,5-Door L,Toyota_Yaris
3575,8ab1af88e929,2013.0,Toyota,Prius Plug-in Hybrid,Prius Plug-in Hybrid,Base,Toyota_Prius Plug-in Hybrid
3587,8b3f8c32eaa1,2013.0,Toyota,Prius c,Prius c,Three,Toyota_Prius c
3591,8b65801e2ce7,2015.0,Toyota,Camry,Camry,SE,Toyota_Camry
3602,8bf3681817ce,2014.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
3603,8c06c37c47b7,2015.0,Toyota,RAV4,RAV4,XLE,Toyota_RAV4
3611,8c56027a5d33,2014.0,Toyota,Sienna,Sienna,LE 8-Passenger,Toyota_Sienna
3616,8c8ac3656710,2015.0,Toyota,Prius c,Prius c,Two,Toyota_Prius c
3617,8c8db3b5e4d0,2015.0,Toyota,Sienna,Sienna,XLE 7-Passenger,Toyota_Sienna
3618,8c923be27df3,2012.0,Toyota,Highlander,Highlander,Base,Toyota_Highlander
3620,8c9db5e0db76,2014.0,Toyota,Camry,Camry,SE,Toyota_Camry
3641,8db21d3149a0,2013.0,Toyota,Highlander,Highlander,Base,Toyota_Highlander
3642,8db28dbcb2fd,2014.0,Toyota,Camry,Camry,LE,Toyota_Camry
3671,8ed97818a253,2013.0,Toyota,Prius Plug-in Hybrid,Prius Plug-in Hybrid,Base,Toyota_Prius Plug-in Hybrid
3680,8f4a1804f9ca,2015.0,Toyota,Corolla,Corolla,LE Eco,Toyota_Corolla
3681,8f533148925f,2015.0,Toyota,Prius,Prius,One,Toyota_Prius
3682,8f54a6a0b59f,2013.0,Toyota,RAV4,RAV4,LE,Toyota_RAV4
3683,8f57f24924b1,2015.0,Toyota,Prius c,Prius c,One,Toyota_Prius c
3690,8fbbf9a5925a,2012.0,Toyota,Prius,Prius,Two,Toyota_Prius
